id,user_id,assignment_id,due_at,title
00690760-f383-4dc4-a57a-72567fd3a697,92e5ee13-bb0b-4ff0-bfc2-de6fde4c9fc6,9fa24396-473b-4bd9-8c0c-87f71ac8e192,2025-10-07 23:59:00,Due: Routing & Subnetting Worksheet
00a6877c-9160-4f4c-af0e-dbdeff0b1a7d,5370b027-b46d-410b-b620-2e6f0bf766aa,caf174f1-0628-4fb7-8f2d-f95ac091ea06,2025-09-29 23:59:00,Due: Greedy vs DP Short Answers
0101a19f-15d8-497c-bb5b-90341f8ac21a,ce657459-2e94-4db6-87d4-72cf5bffe7b9,949f762a-1d86-4cef-a1b8-db5ff740003e,2025-10-06 23:59:00,Due: Graph Algorithms Coding
0141655f-a048-4e70-acd5-91dde6b799b4,a2c06103-04a3-448e-8d2d-5aa58590455f,9e0d2497-aeae-40a5-8f70-07cc90b0696b,2025-10-05 23:59:00,Due: Project 1: Data Structures
048d5ae9-3b4d-48fb-b454-1e3ab95023f9,869ab120-5768-493b-89fc-17e2aa9a569f,29fe6735-aac5-4746-9788-4349d4cddc95,2025-09-30 23:59:00,Due: Recursion Mini-Set
06d3f68c-a891-4e31-b88b-63e4cfe2ef61,92e5ee13-bb0b-4ff0-bfc2-de6fde4c9fc6,276b7fd4-bd78-480c-a2ce-d7495ca62239,2025-09-24 23:59:00,Due: Arrays & Strings Drills
0a252ea1-efdc-49d7-b704-55e48767f362,ce199a83-6efb-4946-8572-1762ee141bd0,276b7fd4-bd78-480c-a2ce-d7495ca62239,2025-09-24 23:59:00,Due: Arrays & Strings Drills
13368d10-1717-49af-bf81-308d36b060bb,b2ffe515-b84d-4e37-a9a7-439c90fcfc1c,8678f777-fcce-4bcf-abc3-f4c95a348004,2025-09-20 23:59:00,Due: Warmup: FizzBuzz Variants
15050929-3006-42a6-b898-12ed1486a1d6,5bbf4762-fc87-4158-9701-c36005861b06,b41306b3-109c-44f2-b4dd-fa77f5d0ad7d,2025-10-01 23:59:00,Due: Socket Programming 101
1bbd162b-fd36-4861-a1e1-ff7ea60fc58a,ce199a83-6efb-4946-8572-1762ee141bd0,9e0d2497-aeae-40a5-8f70-07cc90b0696b,2025-10-05 23:59:00,Due: Project 1: Data Structures
223e3eed-f230-4de3-a49b-61f6493484c3,b2ffe515-b84d-4e37-a9a7-439c90fcfc1c,29fe6735-aac5-4746-9788-4349d4cddc95,2025-09-30 23:59:00,Due: Recursion Mini-Set
2d047537-46a9-4d86-a4ed-416e30d4d267,92e5ee13-bb0b-4ff0-bfc2-de6fde4c9fc6,8678f777-fcce-4bcf-abc3-f4c95a348004,2025-09-20 23:59:00,Due: Warmup: FizzBuzz Variants
335e80a2-b8ea-4835-a754-390a8ff616e6,5370b027-b46d-410b-b620-2e6f0bf766aa,0bf33bc9-0c2b-4856-986a-d5ec022723ca,2025-09-22 23:59:00,Due: Asymptotic Analysis Set
363085ef-9075-4b10-8bec-7dcc939e0b68,991b69e4-865c-47ed-a795-669f3d1678b5,9e0d2497-aeae-40a5-8f70-07cc90b0696b,2025-10-05 23:59:00,Due: Project 1: Data Structures
3656f422-bc65-404e-ab8e-efa12fa5d7f9,92e5ee13-bb0b-4ff0-bfc2-de6fde4c9fc6,29fe6735-aac5-4746-9788-4349d4cddc95,2025-09-30 23:59:00,Due: Recursion Mini-Set
36d5c22c-a483-466f-8e22-d785284c0fe4,ce657459-2e94-4db6-87d4-72cf5bffe7b9,0bf33bc9-0c2b-4856-986a-d5ec022723ca,2025-09-22 23:59:00,Due: Asymptotic Analysis Set
3b7d7795-35c9-452a-a0bd-0365e417168b,a2c06103-04a3-448e-8d2d-5aa58590455f,29fe6735-aac5-4746-9788-4349d4cddc95,2025-09-30 23:59:00,Due: Recursion Mini-Set
3c22d4f9-52e3-42b4-9a40-2306dd397a35,d0ba1eac-7b0f-4c98-97c8-e689ddf7a06e,29fe6735-aac5-4746-9788-4349d4cddc95,2025-09-30 23:59:00,Due: Recursion Mini-Set
3cb53766-30dc-446f-80ab-721611147228,86a3db3f-9e65-43a6-a4ab-389e4fc3a36c,b41306b3-109c-44f2-b4dd-fa77f5d0ad7d,2025-10-01 23:59:00,Due: Socket Programming 101
